,g_name,g_id,votecount
0,Action,28,11800
1,Adventure,12,11800
2,Fantasy,14,11800
3,Science Fiction,878,11800
4,Adventure,12,4500
5,Fantasy,14,4500
6,Action,28,4500
7,Action,28,4466
8,Adventure,12,4466
9,Crime,80,4466
10,Action,28,9106
11,Crime,80,9106
12,Drama,18,9106
13,Thriller,53,9106
14,Action,28,2124
15,Adventure,12,2124
16,Science Fiction,878,2124
17,Fantasy,14,3576
18,Action,28,3576
19,Adventure,12,3576
20,Animation,16,3330
21,Family,10751,3330
22,Action,28,6767
23,Adventure,12,6767
24,Science Fiction,878,6767
25,Adventure,12,5293
26,Fantasy,14,5293
27,Family,10751,5293
28,Action,28,7004
29,Adventure,12,7004
30,Fantasy,14,7004
31,Adventure,12,1400
32,Fantasy,14,1400
33,Action,28,1400
34,Science Fiction,878,1400
35,Adventure,12,2965
36,Action,28,2965
37,Thriller,53,2965
38,Crime,80,2965
39,Adventure,12,5246
40,Fantasy,14,5246
41,Action,28,5246
42,Action,28,2311
43,Adventure,12,2311
44,Western,37,2311
45,Action,28,6359
46,Adventure,12,6359
47,Fantasy,14,6359
48,Science Fiction,878,6359
49,Adventure,12,1630
50,Family,10751,1630
51,Fantasy,14,1630
52,Science Fiction,878,11776
53,Action,28,11776
54,Adventure,12,11776
55,Adventure,12,4948
56,Action,28,4948
57,Fantasy,14,4948
58,Action,28,4160
59,Comedy,35,4160
60,Science Fiction,878,4160
61,Action,28,4760
62,Adventure,12,4760
63,Fantasy,14,4760
64,Action,28,6586
65,Adventure,12,6586
66,Fantasy,14,6586
67,Action,28,1398
68,Adventure,12,1398
69,Adventure,12,4524
70,Fantasy,14,4524
71,Adventure,12,1303
72,Fantasy,14,1303
73,Adventure,12,2337
74,Drama,18,2337
75,Action,28,2337
76,Drama,18,7562
77,Romance,10749,7562
78,Thriller,53,7562
79,Adventure,12,7241
80,Action,28,7241
81,Science Fiction,878,7241
82,Thriller,53,2114
83,Action,28,2114
84,Adventure,12,2114
85,Science Fiction,878,2114
86,Action,28,8662
87,Adventure,12,8662
88,Science Fiction,878,8662
89,Thriller,53,8662
90,Action,28,7604
91,Adventure,12,7604
92,Thriller,53,7604
93,Action,28,4321
94,Adventure,12,4321
95,Fantasy,14,4321
96,Action,28,8806
97,Adventure,12,8806
