,movieid,moviename,genres
0,19995,Avatar,28
1,19995,Avatar,12
2,19995,Avatar,14
3,19995,Avatar,878
4,285,Pirates of the Caribbean: At World's End,12
5,285,Pirates of the Caribbean: At World's End,14
6,285,Pirates of the Caribbean: At World's End,28
7,206647,Spectre,28
8,206647,Spectre,12
9,206647,Spectre,80
10,49026,The Dark Knight Rises,28
11,49026,The Dark Knight Rises,80
12,49026,The Dark Knight Rises,18
13,49026,The Dark Knight Rises,53
14,49529,John Carter,28
15,49529,John Carter,12
16,49529,John Carter,878
17,559,Spider-Man 3,14
18,559,Spider-Man 3,28
19,559,Spider-Man 3,12
20,38757,Tangled,16
21,38757,Tangled,10751
22,99861,Avengers: Age of Ultron,28
23,99861,Avengers: Age of Ultron,12
24,99861,Avengers: Age of Ultron,878
25,767,Harry Potter and the Half-Blood Prince,12
26,767,Harry Potter and the Half-Blood Prince,14
27,767,Harry Potter and the Half-Blood Prince,10751
28,209112,Batman v Superman: Dawn of Justice,28
29,209112,Batman v Superman: Dawn of Justice,12
30,209112,Batman v Superman: Dawn of Justice,14
31,1452,Superman Returns,12
32,1452,Superman Returns,14
33,1452,Superman Returns,28
34,1452,Superman Returns,878
35,10764,Quantum of Solace,12
36,10764,Quantum of Solace,28
37,10764,Quantum of Solace,53
38,10764,Quantum of Solace,80
39,58,Pirates of the Caribbean: Dead Man's Chest,12
40,58,Pirates of the Caribbean: Dead Man's Chest,14
41,58,Pirates of the Caribbean: Dead Man's Chest,28
42,57201,The Lone Ranger,28
43,57201,The Lone Ranger,12
44,57201,The Lone Ranger,37
45,49521,Man of Steel,28
46,49521,Man of Steel,12
47,49521,Man of Steel,14
48,49521,Man of Steel,878
49,2454,The Chronicles of Narnia: Prince Caspian,12
50,2454,The Chronicles of Narnia: Prince Caspian,10751
51,2454,The Chronicles of Narnia: Prince Caspian,14
52,24428,The Avengers,878
53,24428,The Avengers,28
54,24428,The Avengers,12
55,1865,Pirates of the Caribbean: On Stranger Tides,12
56,1865,Pirates of the Caribbean: On Stranger Tides,28
57,1865,Pirates of the Caribbean: On Stranger Tides,14
58,41154,Men in Black 3,28
59,41154,Men in Black 3,35
60,41154,Men in Black 3,878
61,122917,The Hobbit: The Battle of the Five Armies,28
62,122917,The Hobbit: The Battle of the Five Armies,12
63,122917,The Hobbit: The Battle of the Five Armies,14
64,1930,The Amazing Spider-Man,28
65,1930,The Amazing Spider-Man,12
66,1930,The Amazing Spider-Man,14
67,20662,Robin Hood,28
68,20662,Robin Hood,12
69,57158,The Hobbit: The Desolation of Smaug,12
70,57158,The Hobbit: The Desolation of Smaug,14
71,2268,The Golden Compass,12
72,2268,The Golden Compass,14
73,254,King Kong,12
74,254,King Kong,18
75,254,King Kong,28
76,597,Titanic,18
77,597,Titanic,10749
78,597,Titanic,53
79,271110,Captain America: Civil War,12
80,271110,Captain America: Civil War,28
81,271110,Captain America: Civil War,878
82,44833,Battleship,53
83,44833,Battleship,28
84,44833,Battleship,12
85,44833,Battleship,878
86,135397,Jurassic World,28
87,135397,Jurassic World,12
88,135397,Jurassic World,878
89,135397,Jurassic World,53
90,37724,Skyfall,28
91,37724,Skyfall,12
92,37724,Skyfall,53
93,558,Spider-Man 2,28
94,558,Spider-Man 2,12
95,558,Spider-Man 2,14
96,68721,Iron Man 3,28
97,68721,Iron Man 3,12
98,68721,Iron Man 3,878
99,12155,Alice in Wonderland,10751
100,12155,Alice in Wonderland,14
101,12155,Alice in Wonderland,12
102,36668,X-Men: The Last Stand,12
103,36668,X-Men: The Last Stand,28
104,36668,X-Men: The Last Stand,878
105,36668,X-Men: The Last Stand,53
106,62211,Monsters University,16
107,62211,Monsters University,10751
108,8373,Transformers: Revenge of the Fallen,878
109,8373,Transformers: Revenge of the Fallen,28
110,8373,Transformers: Revenge of the Fallen,12
111,91314,Transformers: Age of Extinction,878
112,91314,Transformers: Age of Extinction,28
113,91314,Transformers: Age of Extinction,12
114,68728,Oz: The Great and Powerful,14
115,68728,Oz: The Great and Powerful,12
116,68728,Oz: The Great and Powerful,10751
117,102382,The Amazing Spider-Man 2,28
118,102382,The Amazing Spider-Man 2,12
119,102382,The Amazing Spider-Man 2,14
120,20526,TRON: Legacy,12
121,20526,TRON: Legacy,28
122,20526,TRON: Legacy,878
123,49013,Cars 2,16
124,49013,Cars 2,10751
125,49013,Cars 2,12
126,49013,Cars 2,35
127,44912,Green Lantern,12
128,44912,Green Lantern,28
129,44912,Green Lantern,53
130,44912,Green Lantern,878
131,10193,Toy Story 3,16
132,10193,Toy Story 3,10751
133,10193,Toy Story 3,35
134,534,Terminator Salvation,28
135,534,Terminator Salvation,878
136,534,Terminator Salvation,53
137,168259,Furious 7,28
138,72190,World War Z,28
139,72190,World War Z,18
140,72190,World War Z,27
141,72190,World War Z,878
142,72190,World War Z,53
143,127585,X-Men: Days of Future Past,28
144,127585,X-Men: Days of Future Past,12
145,127585,X-Men: Days of Future Past,14
146,127585,X-Men: Days of Future Past,878
147,54138,Star Trek Into Darkness,28
148,54138,Star Trek Into Darkness,12
149,54138,Star Trek Into Darkness,878
150,81005,Jack the Giant Slayer,28
151,81005,Jack the Giant Slayer,10751
152,81005,Jack the Giant Slayer,14
153,64682,The Great Gatsby,18
154,64682,The Great Gatsby,10749
155,9543,Prince of Persia: The Sands of Time,12
156,9543,Prince of Persia: The Sands of Time,14
157,9543,Prince of Persia: The Sands of Time,28
158,9543,Prince of Persia: The Sands of Time,10749
159,68726,Pacific Rim,28
160,68726,Pacific Rim,878
161,68726,Pacific Rim,12
162,38356,Transformers: Dark of the Moon,28
163,38356,Transformers: Dark of the Moon,878
164,38356,Transformers: Dark of the Moon,12
165,217,Indiana Jones and the Kingdom of the Crystal Skull,12
166,217,Indiana Jones and the Kingdom of the Crystal Skull,28
167,105864,The Good Dinosaur,12
168,105864,The Good Dinosaur,16
169,105864,The Good Dinosaur,10751
170,62177,Brave,16
171,62177,Brave,12
172,62177,Brave,35
173,62177,Brave,10751
174,62177,Brave,28
175,62177,Brave,14
176,188927,Star Trek Beyond,28
177,188927,Star Trek Beyond,12
178,188927,Star Trek Beyond,878
179,10681,WALL·E,16
180,10681,WALL·E,10751
181,5174,Rush Hour 3,28
182,5174,Rush Hour 3,35
183,5174,Rush Hour 3,80
184,5174,Rush Hour 3,53
185,14161,2012,28
186,14161,2012,12
187,14161,2012,878
188,17979,A Christmas Carol,16
189,17979,A Christmas Carol,18
190,76757,Jupiter Ascending,878
191,76757,Jupiter Ascending,14
192,76757,Jupiter Ascending,28
193,76757,Jupiter Ascending,12
194,258489,The Legend of Tarzan,28
195,258489,The Legend of Tarzan,12
196,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12
197,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",10751
198,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",14
199,246655,X-Men: Apocalypse,878
200,155,The Dark Knight,18
201,155,The Dark Knight,28
202,155,The Dark Knight,80
203,155,The Dark Knight,53
204,14160,Up,16
205,14160,Up,35
206,14160,Up,10751
207,14160,Up,12
208,15512,Monsters vs Aliens,16
209,15512,Monsters vs Aliens,10751
210,15512,Monsters vs Aliens,12
211,15512,Monsters vs Aliens,878
212,1726,Iron Man,28
213,1726,Iron Man,878
214,1726,Iron Man,12
215,44826,Hugo,12
216,44826,Hugo,18
217,44826,Hugo,10751
218,8487,Wild Wild West,28
219,8487,Wild Wild West,12
220,8487,Wild Wild West,35
221,8487,Wild Wild West,878
222,8487,Wild Wild West,37
223,1735,The Mummy: Tomb of the Dragon Emperor,12
224,1735,The Mummy: Tomb of the Dragon Emperor,28
225,1735,The Mummy: Tomb of the Dragon Emperor,14
226,297761,Suicide Squad,28
227,297761,Suicide Squad,12
228,297761,Suicide Squad,80
229,297761,Suicide Squad,14
230,297761,Suicide Squad,878
231,2698,Evan Almighty,14
232,2698,Evan Almighty,35
233,2698,Evan Almighty,10751
234,137113,Edge of Tomorrow,28
235,137113,Edge of Tomorrow,878
236,9804,Waterworld,12
237,9804,Waterworld,28
238,14869,G.I. Joe: The Rise of Cobra,12
239,14869,G.I. Joe: The Rise of Cobra,28
240,14869,G.I. Joe: The Rise of Cobra,53
241,14869,G.I. Joe: The Rise of Cobra,878
242,150540,Inside Out,18
243,150540,Inside Out,35
244,150540,Inside Out,16
245,150540,Inside Out,10751
246,278927,The Jungle Book,10751
247,278927,The Jungle Book,12
248,278927,The Jungle Book,18
249,278927,The Jungle Book,14
250,10138,Iron Man 2,12
251,10138,Iron Man 2,28
252,10138,Iron Man 2,878
253,58595,Snow White and the Huntsman,12
254,58595,Snow White and the Huntsman,14
255,58595,Snow White and the Huntsman,18
256,102651,Maleficent,14
257,102651,Maleficent,12
258,102651,Maleficent,28
259,102651,Maleficent,10751
260,102651,Maleficent,10749
261,119450,Dawn of the Planet of the Apes,878
262,119450,Dawn of the Planet of the Apes,28
263,119450,Dawn of the Planet of the Apes,18
264,119450,Dawn of the Planet of the Apes,53
265,79698,The Lovers,28
266,79698,The Lovers,12
267,79698,The Lovers,878
268,79698,The Lovers,10749
269,64686,47 Ronin,18
270,64686,47 Ronin,28
271,64686,47 Ronin,12
272,64686,47 Ronin,14
273,100402,Captain America: The Winter Soldier,28
274,100402,Captain America: The Winter Soldier,12
275,100402,Captain America: The Winter Soldier,878
276,10192,Shrek Forever After,35
277,10192,Shrek Forever After,12
278,10192,Shrek Forever After,14
279,10192,Shrek Forever After,16
280,10192,Shrek Forever After,10751
281,158852,Tomorrowland,12
282,158852,Tomorrowland,10751
283,158852,Tomorrowland,9648
284,158852,Tomorrowland,878
285,177572,Big Hero 6,12
286,177572,Big Hero 6,10751
287,177572,Big Hero 6,16
288,177572,Big Hero 6,28
289,177572,Big Hero 6,35
